BDP_ID,Chromosome,watson_ensembl_id,watson_gene_name,watson_start,watson_end,crick_ensembl_id,crick_gene_name,crick_start,crick_end
2900097C17Rik_1,chr2,NA,NA,156234931,156235430,ENSMUSG00000102869,Norad,156234371,156234870
3010003L21Rik_1,chr6,ENSMUSG00000085355,3010003L21Rik,148846357,148846856,ENSMUSG00000039985,Sinhcaf,148845797,148846296
3110040N11Rik_1,chr7,ENSMUSG00000109485,Gm45016,81439253,81439752,ENSMUSG00000025102,3110040N11Rik,81438693,81439192
3110056K07Rik_1,chr12,ENSMUSG00000048118,Arid4a,71062424,71062923,ENSMUSG00000085622,3110056K07Rik,71061864,71062363
4732491K20Rik_1,chr17,ENSMUSG00000097350,4732491K20Rik,12537783,12538282,ENSMUSG00000014426,Map3k4,12537223,12537722
4833417C18Rik_1,chr11,ENSMUSG00000086015,4833417C18Rik,95749728,95750227,ENSMUSG00000085578,Gm11527,95749168,95749667
4833420G17Rik_1,chr13,ENSMUSG00000062822,4833420G17Rik,119599316,119599815,NA,NA,119598756,119599255
4833428L15Rik_1,chr9,ENSMUSG00000032087,Dscaml1,45342601,45343100,ENSMUSG00000097074,4833428L15Rik,45342041,45342540
4921507P07Rik_1,chr6,ENSMUSG00000085776,5430402O13Rik,50573627,50574126,ENSMUSG00000029828,Spmip4,50573067,50573566
4921513D11Rik_1,chr17,ENSMUSG00000036368,Rmdn2,79934115,79934614,NA,NA,79933555,79934054
4930404N11Rik_1,chr10,ENSMUSG00000034854,Mfsd12,81201701,81202200,ENSMUSG00000020234,Tektip1,81201141,81201640
4930404N11Rik_2,chr10,ENSMUSG00000034854,Mfsd12,81200738,81201237,ENSMUSG00000020234,Tektip1,81200178,81200677
4930433N12Rik_1,chr9,ENSMUSG00000110491,Gm31138,3199829,3200328,ENSMUSG00000042360,4930433N12Rik,3199269,3199768
4930445N18Rik_1,chr18,ENSMUSG00000097738,4930445N18Rik,82874033,82874532,NA,NA,82873473,82873972
4930461G14Rik_1,chr9,ENSMUSG00000097651,4930461G14Rik,58362428,58362927,NA,NA,58361868,58362367
4930481A15Rik_1,chr19,ENSMUSG00000086938,4930481A15Rik,5456858,5457357,ENSMUSG00000120167,Gm56655,5456298,5456797
4930515G01Rik_1,chr5,ENSMUSG00000041870,Ankrd13a,114913067,114913566,ENSMUSG00000092183,4930515G01Rik,114912507,114913006
4930548H24Rik_1,chr5,ENSMUSG00000029138,Ccdc121,31643216,31643715,NA,NA,31642656,31643155
4930578M01Rik_1,chr15,ENSMUSG00000097587,4930578M01Rik,98883768,98884267,ENSMUSG00000120371,Gm56698,98883208,98883707
4931414P19Rik_1,chr14,NA,NA,54843426,54843925,ENSMUSG00000022179,4931414P19Rik,54842866,54843365
4932438A13Rik_1,chr3,ENSMUSG00000037270,Bltp1,36917284,36917783,NA,NA,36916724,36917223
4933407K13Rik_1,chrX,NA,NA,74808329,74808828,ENSMUSG00000087396,4933407K13Rik,74807769,74808268
4933416M07Rik_1,chr8,ENSMUSG00000097262,4933416M07Rik,27632881,27633380,ENSMUSG00000031488,Rab11fip1,27632321,27632820
4933417D19Rik_1,chr8,ENSMUSG00000097637,4933417D19Rik,123961861,123962360,ENSMUSG00000033594,Spata2l,123961301,123961800
4933428G20Rik_1,chr11,ENSMUSG00000049807,Arhgap23,97391239,97391738,ENSMUSG00000047988,4933428G20Rik,97390679,97391178
5330413P13Rik_1,chr2,NA,NA,131689615,131690114,ENSMUSG00000086822,5330413P13Rik,131689055,131689554
5430416N02Rik_1,chr5,ENSMUSG00000106391,Gm42690,100577422,100577921,ENSMUSG00000097772,5430416N02Rik,100576862,100577361
5730522E02Rik_1,chr11,NA,NA,26160609,26161108,ENSMUSG00000032985,5730522E02Rik,26160049,26160548
5930412G12Rik_1,chr5,ENSMUSG00000081683,Fzd10,128677811,128678310,ENSMUSG00000072591,Fzd10os,128677251,128677750
6330403K07Rik_1,chr11,NA,NA,70924347,70924846,ENSMUSG00000018451,6330403K07Rik,70923787,70924286
6430531B16Rik_1,chr7,ENSMUSG00000086742,Gm16201,139558656,139559155,ENSMUSG00000073795,Spef1l,139558096,139558595
6430571L13Rik_1,chr9,ENSMUSG00000037977,6430571L13Rik,107217844,107218343,NA,NA,107217284,107217783
8030462N17Rik_1,chr18,NA,NA,77801715,77802214,ENSMUSG00000047466,Ark2n,77801155,77801654
8030474K03Rik_1,chrX,ENSMUSG00000046774,8030474K03Rik,100838250,100838749,ENSMUSG00000045010,Gm4779,100837690,100838189
9030624G23Rik_1,chr12,NA,NA,24147307,24147806,ENSMUSG00000073158,9030624G23Rik,24146747,24147246
9130011E15Rik_1,chr19,ENSMUSG00000097690,4930505N22Rik,45986990,45987489,ENSMUSG00000039901,Armh3,45986430,45986929
9130023H24Rik_1,chr7,ENSMUSG00000042178,Armc5,127837211,127837710,ENSMUSG00000062944,9130023H24Rik,127836651,127837150
9130230L23Rik_1,chr5,NA,NA,66161678,66162177,ENSMUSG00000054598,9130230L23Rik,66161118,66161617
9130401M01Rik_1,chr15,NA,NA,57897761,57898260,ENSMUSG00000101892,9130401M01Rik,57897201,57897700
9330151L19Rik_1,chr12,ENSMUSG00000097061,9330151L19Rik,69243994,69244493,ENSMUSG00000113149,Gm49383,69243434,69243933
9430015G10Rik_1,chr4,ENSMUSG00000059939,9430015G10Rik,156194498,156194997,NA,NA,156193938,156194437
9430038I01Rik_1,chr7,NA,NA,137012535,137013034,ENSMUSG00000040139,9430038I01Rik,137011975,137012474
9430091E24Rik_1,chr8,NA,NA,111872256,111872755,ENSMUSG00000084808,9430091E24Rik,111871696,111872195
9530026P05Rik_1,chr6,ENSMUSG00000097462,9530026P05Rik,92917574,92918073,ENSMUSG00000030022,Adamts9,92917014,92917513
9530068E07Rik_1,chr11,ENSMUSG00000036275,9530068E07Rik,52287297,52287796,NA,NA,52286737,52287236
9930014A18Rik_1,chr15,ENSMUSG00000097493,9930014A18Rik,60694825,60695324,ENSMUSG00000072568,Lratd2,60694265,60694764
A130010J15Rik_1,chr1,ENSMUSG00000079144,A130010J15Rik,192855904,192856403,ENSMUSG00000121181,Gm57171,192855344,192855843
A330009N23Rik_1,chr15,ENSMUSG00000000531,Tamalin,101123080,101123579,ENSMUSG00000097915,A330009N23Rik,101122520,101123019
A4galt_1,chr15,NA,NA,83135980,83136479,ENSMUSG00000047878,A4galt,83135420,83135919
A630072M18Rik_1,chr5,ENSMUSG00000101013,A630072M18Rik,21155951,21156450,ENSMUSG00000039968,Rsbn1l,21155391,21155890
A830018L16Rik_1,chr1,ENSMUSG00000057715,A830018L16Rik,11484340,11484839,NA,NA,11483780,11484279
A930006K02Rik_1,chr16,ENSMUSG00000084866,A930006K02Rik,91261991,91262490,ENSMUSG00000116987,Gm49625,91261431,91261930
A930015D03Rik_1,chr17,ENSMUSG00000092368,A930015D03Rik,36305407,36305906,NA,NA,36304847,36305346
AA465934_1,chr11,ENSMUSG00000093483,AA465934,83182579,83183078,NA,NA,83182019,83182518
AB347857_1,chr8,ENSMUSG00000065952,Rps23rg1,3634300,3634799,ENSMUSG00000066902,Rps23-ps2,3633740,3634239
AB904934_2,chr18,NA,NA,75493303,75493802,ENSMUSG00000092569,Gm20544,75492743,75493242
AI413582_1,chr17,ENSMUSG00000116884,C130040N14Rik,27784710,27785209,ENSMUSG00000062753,Smim29,27784150,27784649
AI450353_1,chr11,ENSMUSG00000093483,AA465934,83184294,83184793,NA,NA,83183734,83184233
AI593442_1,chr9,ENSMUSG00000111020,Gm1715,52591095,52591594,ENSMUSG00000078307,AI593442,52590535,52591034
AK005678_1,chr10,ENSMUSG00000034764,1700006J14Rik,120200101,120200600,ENSMUSG00000056758,Hmga2,120199541,120200040
AK005754_1,chr11,ENSMUSG00000085762,Lrrc75aos2,62496601,62497100,ENSMUSG00000046417,Lrrc75a,62496041,62496540
AK007436_1,chr6,ENSMUSG00000097462,9530026P05Rik,92920563,92921062,ENSMUSG00000030022,Adamts9,92920003,92920502
AK007459_1,chr2,ENSMUSG00000087595,1810012K08Rik,26028524,26029023,ENSMUSG00000087679,Tmem250,26027964,26028463
AK007907_1,chr5,ENSMUSG00000087272,Gm15409,148896559,148897058,ENSMUSG00000041298,Katnal1,148895999,148896498
AK009639_1,chr19,ENSMUSG00000043488,Frmd8os,5898545,5899044,NA,NA,5897985,5898484
AK011498_1,chr7,ENSMUSG00000091474,2610021A01Rik,41248714,41249213,NA,NA,41248154,41248653
AK011687_1,chr4,NA,NA,146994080,146994579,ENSMUSG00000045699,Gm21411,146993520,146994019
AK014209_1,chr12,NA,NA,20971313,20971812,ENSMUSG00000121318,NA,20970753,20971252
AK015818_1,chr14,ENSMUSG00000054391,4930517O19Rik,100450636,100451135,ENSMUSG00000072294,Klf12,100450076,100450575
AK016162_1,chr3,ENSMUSG00000085754,Gm15886,103679243,103679742,ENSMUSG00000008730,Hipk1,103678683,103679182
AK018074_2,chr14,ENSMUSG00000039357,Fut11,20746618,20747117,ENSMUSG00000097577,6230400D17Rik,20746058,20746557
AK018913_1,chr14,ENSMUSG00000006527,Sfmbt1,30500011,30500510,ENSMUSG00000115723,1700087M22Rik,30499451,30499950
AK019124_1,chr19,ENSMUSG00000044387,2410080I02Rik,23112230,23112729,NA,NA,23111670,23112169
AK019743_1,chr4,ENSMUSG00000028793,Rnf19b,128951786,128952285,ENSMUSG00000085085,1700086P04Rik,128951226,128951725
AK030236_1,chr5,NA,NA,24028071,24028570,ENSMUSG00000086697,4933427G23Rik,24027511,24028010
AK035229_1,chr4,NA,NA,155854446,155854945,ENSMUSG00000042116,Vwa1,155853886,155854385
AK037830_1,chr17,NA,NA,7095465,7095964,ENSMUSG00000120277,Gm2885,7094905,7095404
AK037841_1,chr8,ENSMUSG00000120095,Gm26664,85391675,85392174,NA,NA,85391115,85391614
AK039110_1,chr1,ENSMUSG00000102234,Gm37885,182311809,182312308,ENSMUSG00000026509,Capn2,182311249,182311748
AK040904_1,chr17,NA,NA,71232019,71232518,ENSMUSG00000097154,Gm26510,71231459,71231958
AK040967_1,chr13,ENSMUSG00000089940,Gm4117,89887590,89888089,ENSMUSG00000021614,Vcan,89887030,89887529
AK043032_1,chr6,ENSMUSG00000048636,A730049H05Rik,92793467,92793966,ENSMUSG00000030022,Adamts9,92792907,92793406
AK046994_1,chr5,ENSMUSG00000063430,Wscd2,113688957,113689456,NA,NA,113688397,113688896
AK047163_1,chr6,ENSMUSG00000085058,8030453O22Rik,39504488,39504987,ENSMUSG00000038456,Dennd2a,39503928,39504427
AK049282_1,chr11,NA,NA,107417672,107418171,ENSMUSG00000085864,C330019F10Rik,107417112,107417611
AK052161_1,chr3,ENSMUSG00000087610,Gm16253,96484311,96484810,NA,NA,96483751,96484250
AK052878_1,chr2,ENSMUSG00000085322,Gm14261,168608074,168608573,ENSMUSG00000027547,Sall4,168607514,168608013
AK054122_1,chr9,ENSMUSG00000093803,Ppp2r3d,124198517,124199016,NA,NA,124197957,124198456
AK076318_1,chr8,ENSMUSG00000110684,Gm45866,124480934,124481433,ENSMUSG00000097203,4732419C18Rik,124480374,124480873
AK076976_1,chr13,NA,NA,66667658,66668157,ENSMUSG00000097483,Gm26806,66667098,66667597
AK078712_1,chr9,ENSMUSG00000121123,Gm57056,107749977,107750476,ENSMUSG00000032582,Rbm6,107749417,107749916
AK085341_1,chr9,ENSMUSG00000085541,Gm16010,96898029,96898528,ENSMUSG00000046997,Spsb4,96897469,96897968
AK086315_1,chr19,ENSMUSG00000033760,Rbm4b,4815936,4816435,ENSMUSG00000096370,Gm21992,4815376,4815875
AK086736_1,chr17,ENSMUSG00000039218,Srrm2,24009647,24010146,NA,NA,24009087,24009586
AK087392_1,chr11,ENSMUSG00000086256,Gm12052,22567464,22567963,NA,NA,22566904,22567403
AK087850_1,chr7,ENSMUSG00000085105,Gm12758,33933834,33934333,ENSMUSG00000086526,Gm12762,33933274,33933773
AK089373_1,chr9,ENSMUSG00000032024,Clmp,40695496,40695995,ENSMUSG00000087135,Gm16096,40694936,40695435
AK131696_1,chr7,ENSMUSG00000085725,Gm15873,4529644,4530143,ENSMUSG00000055809,Dnaaf3,4529084,4529583
AK133627_1,chr10,NA,NA,80414492,80414991,NA,NA,80413932,80414431
AK137033_1,chr3,NA,NA,83697339,83697838,ENSMUSG00000097250,Gm26771,83696779,83697278
AK137356_1,chr11,ENSMUSG00000119981,Gm57382,30218194,30218693,ENSMUSG00000020315,Sptbn1,30217634,30218133
AK138088_1,chr12,NA,NA,69643645,69644144,ENSMUSG00000034801,Sos2,69643085,69643584
AK138592_1,chr5,ENSMUSG00000028978,Nos3,24588664,24589163,ENSMUSG00000086769,Gm15587,24588104,24588603
AK140919_1,chr10,ENSMUSG00000039994,Timeless,128068736,128069235,NA,NA,128068176,128068675
AK144265_1,chr16,ENSMUSG00000022905,Kpna1,35802180,35802679,ENSMUSG00000086324,Gm15564,35801620,35802119
AK145544_1,chr13,ENSMUSG00000114327,Gm40988,66828929,66829428,ENSMUSG00000121764,NA,66828369,66828868
AK149307_1,chr18,ENSMUSG00000073590,3222401L13Rik,37788974,37789473,NA,NA,37788414,37788913
AK155239_1,chr11,NA,NA,97551250,97551749,ENSMUSG00002075001,Gm54799,97550690,97551189
AK157916_1,chr11,ENSMUSG00000097887,Gm26542,50127847,50128346,ENSMUSG00000020377,Ltc4s,50127287,50127786
AK158038_1,chr1,ENSMUSG00000120094,Gm57161,135615893,135616392,ENSMUSG00000009418,Nav1,135615333,135615832
AK158157_1,chr12,ENSMUSG00000086689,Gm16876,91652919,91653418,ENSMUSG00000090722,Gm8378,91652359,91652858
AK161769_2,chr17,ENSMUSG00000038311,2410017I17Rik,36456691,36457190,ENSMUSG00000073403,Gm10499,36456131,36456630
AK168184_1,chr8,ENSMUSG00000074203,G430095P16Rik,85449709,85450208,ENSMUSG00000001911,Nfix,85449149,85449648
AK204506_1,chr3,ENSMUSG00000001418,Glmp,88235713,88236212,NA,NA,88235153,88235652
AK217856_1,chr11,ENSMUSG00000070327,Rnf213,119359898,119360397,ENSMUSG00000109408,A930037H05Rik,119359338,119359837
AU041133_1,chr10,ENSMUSG00000078435,AU041133,81963854,81964353,NA,NA,81963294,81963793
AW146154_1,chr7,NA,NA,41148882,41149381,ENSMUSG00000092592,Gm20449,41148322,41148821
Aaed1_1,chr13,NA,NA,64460574,64461073,ENSMUSG00000021482,Prxl2c,64460014,64460513
Aard_1,chr15,ENSMUSG00000068522,Aard,51903562,51904061,NA,NA,51903002,51903501
Aars2_1,chr17,ENSMUSG00000023938,Aars2,45817778,45818277,NA,NA,45817218,45817717
Aars_1,chr8,ENSMUSG00000031960,Aars1,111760558,111761057,NA,NA,111759998,111760497
Aasdh_1,chr5,NA,NA,77053373,77053872,ENSMUSG00000055923,Aasdh,77052813,77053312
Abcb7_1,chrX,NA,NA,103457490,103457989,ENSMUSG00000031333,Abcb7,103456930,103457429
Abcc4_1,chr14,NA,NA,118943664,118944163,ENSMUSG00000032849,Abcc4,118943104,118943603
Abcf1_1,chr17,ENSMUSG00000120154,Gm32655,36280694,36281193,ENSMUSG00000038762,Abcf1,36280134,36280633
Abcf2_1,chr5,NA,NA,24782426,24782925,ENSMUSG00000028953,Abcf2,24781866,24782365
Abcf3_1,chr16,ENSMUSG00000003234,Abcf3,20367426,20367925,ENSMUSG00000121849,Gm15760,20366866,20367365
Abcg2_1,chr6,ENSMUSG00000029802,Abcg2,58617542,58618041,NA,NA,58616982,58617481
Abhd11os_1,chr5,NA,NA,135042053,135042552,ENSMUSG00000085042,Abhd11os,135041493,135041992
Abhd12_1,chr2,NA,NA,150746633,150747132,ENSMUSG00000032046,Abhd12,150746073,150746572
Abhd12_2,chr2,NA,NA,150684338,150684837,ENSMUSG00000032046,Abhd12,150683778,150684277
Abhd13_1,chr8,ENSMUSG00000040396,Abhd13,10027756,10028255,ENSMUSG00000049717,Lig4,10027196,10027695
Abhd14b_1,chr9,ENSMUSG00000042073,Abhd14b,106325885,106326384,NA,NA,106325325,106325824
Abhd15_1,chr11,ENSMUSG00000000686,Abhd15,77405958,77406457,ENSMUSG00000044328,Trp53i13,77405398,77405897
Abhd17a_1,chr10,NA,NA,80426197,80426696,ENSMUSG00000003346,Abhd17a,80425637,80426136
Abhd1_1,chr5,ENSMUSG00000006638,Abhd1,31107444,31107943,NA,NA,31106884,31107383
Abi2_1,chr1,ENSMUSG00000026782,Abi2,60448853,60449352,NA,NA,60448293,60448792
Abl2_1,chr1,ENSMUSG00000026596,Abl2,156386376,156386875,NA,NA,156385816,156386315
Abraxas2_1,chr7,ENSMUSG00000030965,Abraxas2,132460991,132461490,ENSMUSG00000030849,Fgfr2,132460431,132460930
Acaa1a_1,chr9,ENSMUSG00000036138,Acaa1a,119170432,119170931,ENSMUSG00000032508,Myd88,119169872,119170371
Acaa2_1,chr18,ENSMUSG00000036880,Acaa2,74912294,74912793,ENSMUSG00000089235,Gm23119,74911734,74912233
Acad12_1,chr5,ENSMUSG00000120376,Gm57307,121756999,121757498,ENSMUSG00000042647,Acad12,121756439,121756938
Acad9_1,chr3,ENSMUSG00000027710,Acad9,36120242,36120741,NA,NA,36119682,36120181
Acadm_1,chr3,NA,NA,153650131,153650630,ENSMUSG00000062908,Acadm,153649571,153650070
Acadvl_1,chr11,NA,NA,69906271,69906770,ENSMUSG00000018574,Acadvl,69905711,69906210
Acat2_1,chr17,NA,NA,13179649,13180148,ENSMUSG00000023832,Acat2,13179089,13179588
Acbd4_1,chr11,ENSMUSG00000056938,Acbd4,102993919,102994418,NA,NA,102993359,102993858
Acbd5_1,chr2,ENSMUSG00000026781,Acbd5,22958247,22958746,NA,NA,22957687,22958186
Acin1_1,chr14,ENSMUSG00000040840,4930579G18Rik,54891184,54891683,ENSMUSG00000022185,Acin1,54890624,54891123
Ackr4_1,chr9,ENSMUSG00000090150,Acad11,103980256,103980755,ENSMUSG00000079355,Ackr4,103979696,103980195
Acot1_1,chr12,ENSMUSG00000072949,Acot1,84056275,84056774,NA,NA,84055715,84056214
Acot2_1,chr12,ENSMUSG00000021226,Acot2,84034665,84035164,NA,NA,84034105,84034604
Acp2_1,chr2,ENSMUSG00000002103,Acp2,91033275,91033774,ENSMUSG00000002108,Nr1h3,91032715,91033214
Acp6_1,chr3,ENSMUSG00000028093,Acp6,97066190,97066689,NA,NA,97065630,97066129
Acrbp_1,chr6,ENSMUSG00000072770,Acrbp,125026914,125027413,ENSMUSG00000108034,4930557K07Rik,125026354,125026853
Acsl1_1,chr8,ENSMUSG00000018796,Acsl1,46924225,46924724,NA,NA,46923665,46924164
Acsl4_1,chrX,NA,NA,141173550,141174049,ENSMUSG00000031278,Acsl4,141172990,141173489
