BDP_ID,Chromosome,watson_start,watson_end,crick_start,crick_end,watson_appris,watson_biotype,watson_biotype_gencode,watson_canonical,watson_description,watson_ensembl_id,watson_gencode_basic,watson_gene_name,watson_gene_name_updated,watson_keyword,watson_length,watson_refseq,watson_rnacentral_id,watson_transcript_id,watson_tsl,watson_uniprot,crick_appris,crick_biotype,crick_biotype_gencode,crick_canonical,crick_description,crick_ensembl_id,crick_gencode_basic,crick_gene_name,crick_gene_name_updated,crick_keyword,crick_length,crick_refseq,crick_rnacentral_id,crick_transcript_id,crick_tsl,crick_uniprot
1190007I07Rik_1,chr10,82459091,82459590,82458531,82459030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,ubiquinol-cytochrome c reductase complex assembly factor 6 [Source:MGI Symbol;Acc:MGI:3698433],ENSMUSG00000063320,GENCODE basic,Uqcc6,Uqcc6,Membrane; Mitochondrion; Mitochondrion inner membrane; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix,3378,,,ENSMUST00000176200,tsl2 (assigned to previous version 7),Q8BTC1
1300002E11Rik_1,chr16,21613123,21613622,21612563,21613062,NA,NA,NA,NA,NA,ENSMUSG00000097290,NA,1300002E11Rik,NA,NA,14723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500004A13Rik_1,chr3,88739844,88740343,88739284,88739783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000098912,NA,1500004A13Rik,NA,NA,52253,NA,NA,NA,NA,NA
1500011K16Rik_1,chr2,127634458,127634957,127633898,127634397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,mitoregulin [Source:MGI Symbol;Acc:MGI:1915135],ENSMUSG00000051319,GENCODE basic,Mtln,Mtln,Direct protein sequencing; Membrane; Mitochondrion; Mitochondrion inner membrane; Reference proteome; Transmembrane; Transmembrane helix,1101,,,ENSMUST00000135091,tsl1 (assigned to previous version 1),Q8BT35
1600010M07Rik_1,chr7,109605886,109606385,109605326,109605825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000101585,NA,1600010M07Rik,NA,NA,152829,NA,NA,NA,NA,NA
1600020E01Rik_1,chr6,86504312,86504811,86503752,86504251,NA,NA,NA,NA,NA,ENSMUSG00000097048,NA,1600020E01Rik,NA,NA,57680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700003F12Rik_1,chr2,154390835,154391334,154390275,154390774,,protein_coding,retained_intron,NA,RIKEN cDNA 1700003F12 gene [Source:MGI Symbol;Acc:MGI:1922730],ENSMUSG00000038523,,1700003F12Rik,1700003F12Rik,NA,2919,,,ENSMUST00000135641,tsl5 (assigned to previous version 1),,,protein_coding,protein_coding,NA,N-terminal EF-hand calcium binding protein 3 [Source:MGI Symbol;Acc:MGI:1861721],ENSMUSG00000027489,GENCODE basic,Necab3,Necab3,Alternative splicing; Calcium; Golgi apparatus; Metal-binding; Phosphoprotein; Reference proteome,14492,,,ENSMUST00000109716,tsl1 (assigned to previous version 8),Q9D6J4
1700003M07Rik_1,chr4,129854580,129855079,129854020,129854519,NA,NA,NA,NA,NA,ENSMUSG00000085389,NA,1700003M07Rik,NA,NA,22052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700008J07Rik_1,chr7,127112078,127112577,127111518,127112017,,protein_coding,retained_intron,NA,Snf2-related CREBBP activator protein [Source:MGI Symbol;Acc:MGI:2444036],ENSMUSG00000053877,,Srcap,Srcap,NA,49237,,,ENSMUST00000185401,tsl1 (assigned to previous version 6),,NA,NA,NA,NA,NA,ENSMUSG00000101225,NA,1700008J07Rik,NA,NA,2453,NA,NA,NA,NA,NA
1700008O03Rik_1,chr7,44024504,44025003,44023944,44024443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 1700008O03 gene [Source:MGI Symbol;Acc:MGI:1916599],ENSMUSG00000008028,GENCODE basic,1700008O03Rik,1700008O03Rik,Reference proteome,25778,,,ENSMUST00000107933,tsl1 (assigned to previous version 7),D3Z070
1700019D03Rik_1,chr1,52992023,52992522,52991463,52991962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 1700019D03 gene [Source:MGI Symbol;Acc:MGI:1914330],ENSMUSG00000043629,GENCODE basic,1700019D03Rik,1700019D03Rik,Cell membrane; Lipoprotein; Membrane; Myristate; Palmitate; Phosphoprotein; Reference proteome,97856,,,ENSMUST00000050567,tsl1 (assigned to previous version 10),Q9CPS8
1700028E10Rik_1,chr5,151292185,151292684,151291625,151292124,NA,NA,NA,NA,NA,ENSMUSG00000097321,NA,1700028E10Rik,NA,NA,81564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000054622,NA,D730045B01Rik,NA,NA,60494,NA,NA,NA,NA,NA
1700028I16Rik_1,chr10,82648008,82648507,82647448,82647947,NA,NA,NA,NA,NA,ENSMUSG00000056821,NA,1700028I16Rik,NA,NA,16034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700029I15Rik_1,chr2,92213274,92213773,92212714,92213213,,protein_coding,retained_intron,NA,Frey regulator of sperm-oocyte fusion 1 [Source:MGI Symbol;Acc:MGI:1916742],ENSMUSG00000044916,,Frey1,Frey1,NA,3171,,,ENSMUST00000189714,tslNA (assigned to previous version 1),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700029P11Rik_1,chr15,81864757,81865256,81864197,81864696,principal1,protein_coding,protein_coding,1,NADH:ubiquinone oxidoreductase subunit B11B [Source:MGI Symbol;Acc:MGI:1913596],ENSMUSG00000061633,GENCODE basic,Ndufb11b,Ndufb11b,NA,1024,,,ENSMUST00000074608,tslNA (assigned to previous version 3),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700037H04Rik_1,chr2,131002014,131002513,131001454,131001953,NA,NA,NA,NA,NA,ENSMUSG00000087405,NA,Gm14232,NA,NA,14319,NA,NA,NA,NA,NA,,protein_coding,nonsense_mediated_decay,NA,adipose secreted signaling protein [Source:MGI Symbol;Acc:MGI:1914576],ENSMUSG00000027327,,Adissp,Adissp,NA,13758,NR_154887,,ENSMUST00000184535,tsl1 (assigned to previous version 7),
1700044C05Rik_1,chr14,118603313,118603812,118602753,118603252,NA,NA,NA,NA,NA,ENSMUSG00000096997,NA,Gm26791,NA,NA,34487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700092M07Rik_1,chr19,8718093,8718592,8717533,8718032,principal1,protein_coding,protein_coding,1,testis expressed 54 [Source:MGI Symbol;Acc:MGI:1921557],ENSMUSG00000090840,GENCODE basic,Tex54,Tex54,Reference proteome,508,,,ENSMUST00000163172,tsl1 (assigned to previous version 1),G3UW99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700096K18Rik_1,chr5,25734991,25735490,25734431,25734930,NA,NA,NA,NA,NA,ENSMUSG00000101856,NA,1700096K18Rik,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700109H08Rik_1,chr5,3621697,3622196,3621137,3621636,,protein_coding,nonsense_mediated_decay,NA,RIKEN cDNA 1700109H08 gene [Source:MGI Symbol;Acc:MGI:1924286],ENSMUSG00000008307,,1700109H08Rik,1700109H08Rik,NA,12791,,,ENSMUST00000147801,tsl1 (assigned to previous version 7),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700110K17Rik_1,chr9,40244853,40245352,40244293,40244792,NA,NA,NA,NA,NA,ENSMUSG00000087047,NA,1700110K17Rik,NA,NA,20142,NA,NA,NA,NA,NA,,protein_coding,protein_coding,NA,GRAM domain containing 1B [Source:MGI Symbol;Acc:MGI:1925037],ENSMUSG00000040111,,Gramd1b,Gramd1b,NA,238151,,,ENSMUST00000137454,tsl1 (assigned to previous version 7),
1700113A16Rik_1,chr3,88085062,88085561,88084502,88085001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000096935,NA,1700113A16Rik,NA,NA,12399,NA,NA,NA,NA,NA
1700123M08Rik_1,chr4,11966669,11967168,11966109,11966608,NA,NA,NA,NA,NA,ENSMUSG00000085614,NA,1700123M08Rik,NA,NA,50221,NA,NA,NA,NA,NA,principal4,protein_coding,protein_coding,NA,pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:MGI Symbol;Acc:MGI:2685870],ENSMUSG00000049225,GENCODE basic,Pdp1,Pdp1,Acetylation; Calcium; Hydrolase; Magnesium; Manganese; Metal-binding; Mitochondrion; Protein phosphatase; Reference proteome; Transit peptide,8269,,,ENSMUST00000108297,tsl1 (assigned to previous version 2),Q3UV70
1700123O20Rik_1,chr14,54923721,54924220,54923161,54923660,principal1,protein_coding,protein_coding,1,RIKEN cDNA 1700123O20 gene [Source:MGI Symbol;Acc:MGI:1920893],ENSMUSG00000040822,GENCODE basic,1700123O20Rik,1700123O20Rik,Mitochondrion; Reference proteome,4526,,,ENSMUST00000038539,tsl1 (assigned to previous version 6),Q9JJ93,,protein_coding,protein_coding,NA,apoptotic chromatin condensation inducer 1 [Source:MGI Symbol;Acc:MGI:1891824],ENSMUSG00000022185,GENCODE basic,Acin1,Acin1,Acetylation; Alternative splicing; Apoptosis; Isopeptide bond; Methylation; mRNA processing; mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation,44771,,,ENSMUST00000126166,tsl1 (assigned to previous version 7),Q9JIX8
1810009A15Rik_1,chr19,8866278,8866777,8865718,8866217,principal1,protein_coding,protein_coding,1,"predicted gene, 49416 [Source:MGI Symbol;Acc:MGI:6155046]",ENSMUSG00000116347,GENCODE basic,Gm49416,Gm49416,NA,6302,,,ENSMUST00000191089,tsl5 (assigned to previous version 1),,NA,NA,NA,NA,NA,ENSMUSG00000070167,NA,Snora57,NA,NA,148,NA,NA,NA,NA,NA
1810010H24Rik_1,chr11,106918967,106919466,106918407,106918906,alternative2,protein_coding,protein_coding,1,RIKEN cDNA 1810010H24 gene [Source:MGI Symbol;Acc:MGI:1916316],ENSMUSG00000078607,GENCODE basic,1810010H24Rik,1810010H24Rik,Disulfide bond; Reference proteome; Signal,4763,,,ENSMUST00000140447,tsl5 (assigned to previous version 3),Q08AU9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810013L24Rik_1,chr16,8648011,8648510,8647451,8647950,principal1,protein_coding,protein_coding,1,HUWE1 associated protein modifying stress responses [Source:MGI Symbol;Acc:MGI:1916303],ENSMUSG00000022507,GENCODE basic,Hapstr1,Hapstr1,Cytoplasm; Nucleus; Phosphoprotein; Reference proteome; Stress response; Ubl conjugation,28823,,,ENSMUST00000023150,tsl1 (assigned to previous version 5),Q14AM7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810019D21Rik_2,chr8,106862058,106862557,106861498,106861997,NA,NA,NA,NA,NA,ENSMUSG00000086390,NA,1810019D21Rik,NA,NA,3746,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,epithelial splicing regulatory protein 2 [Source:MGI Symbol;Acc:MGI:1924661],ENSMUSG00000084128,GENCODE basic,Esrp2,Esrp2,mRNA processing; mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Repeat; RNA-binding,6656,,,ENSMUST00000115979,tsl1 (assigned to previous version 8),Q8K0G8
1810022K09Rik_1,chr3,14676377,14676876,14675817,14676316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,NA,ribosomal biogenesis factor [Source:MGI Symbol;Acc:MGI:1916376],ENSMUSG00000078784,GENCODE basic,Rbis,Rbis,Acetylation; Alternative splicing; Nucleus; Phosphoprotein; Reference proteome,5002,,,ENSMUST00000185384,tsl1 (assigned to previous version 6),Q0VG62
1810030O07Rik_1,chrX,12539863,12540362,12539303,12539802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 1810030O07 gene [Source:MGI Symbol;Acc:MGI:1916405],ENSMUSG00000044148,GENCODE basic,1810030O07Rik,1810030O07Rik,Alternative splicing; Methylation; Phosphoprotein; Reference proteome,18790,,,ENSMUST00000060108,tsl1 (assigned to previous version 6),Q8C5K5
1810032O08Rik_1,chr11,116562506,116563005,116561946,116562445,NA,NA,NA,NA,NA,ENSMUSG00000020812,NA,Snhg16,NA,NA,19431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810043G02Rik_2,chr10,77817434,77817933,77816874,77817373,principal1,protein_coding,protein_coding,1,cilia and flagella associated protein 410 [Source:MGI Symbol;Acc:MGI:1915134],ENSMUSG00000020284,GENCODE basic,Cfap410,Cfap410,Cell projection; Cilium biogenesis/degradation; Cytoplasm; Cytoskeleton; DNA damage; Leucine-rich repeat; Mitochondrion; Reference proteome; Repeat,8382,,,ENSMUST00000105397,tsl1 (assigned to previous version 9),Q8C6G1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810055G02Rik_1,chr19,3758354,3758853,3757794,3758293,,protein_coding,protein_coding,NA,RIKEN cDNA 1810055G02 gene [Source:MGI Symbol;Acc:MGI:1919306],ENSMUSG00000035372,,1810055G02Rik,1810055G02Rik,NA,9589,,,ENSMUST00000237320,,,NA,NA,NA,NA,NA,ENSMUSG00000118249,NA,Gm36608,NA,NA,18602,NA,NA,NA,NA,NA
2010010A06Rik_1,chr18,75430410,75430909,75429850,75430349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000121833,NA,2010010A06Rik,NA,NA,21292,NA,NA,NA,NA,NA
2200002D01Rik_1,chr7,28947868,28948367,28947308,28947807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 2200002D01 gene [Source:MGI Symbol;Acc:MGI:1919525],ENSMUSG00000030587,GENCODE basic,2200002D01Rik,2200002D01Rik,NA,1906,,,ENSMUST00000032808,tsl1 (assigned to previous version 5),
2210408F21Rik_1,chr6,31197387,31197886,31196827,31197326,NA,NA,NA,NA,NA,ENSMUSG00000087380,NA,2210408F21Rik,NA,NA,164860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000044471,NA,Lncpint,NA,NA,138108,NA,NA,NA,NA,NA
2210417A02Rik_1,chr5,148678706,148679205,148678146,148678645,NA,NA,NA,NA,NA,ENSMUSG00000086494,NA,2210417A02Rik,NA,NA,15172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310009B15Rik_1,chr1,138784614,138785113,138784054,138784553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 2310009B15 gene [Source:MGI Symbol;Acc:MGI:1916799],ENSMUSG00000079283,GENCODE basic,2310009B15Rik,2310009B15Rik,NA,4870,,,ENSMUST00000112025,tsl2 (assigned to previous version 2),
2310030G06Rik_1,chr9,50657877,50658376,50657317,50657816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,RIKEN cDNA 2310030G06 gene [Source:MGI Symbol;Acc:MGI:1914202],ENSMUSG00000032062,GENCODE basic,2310030G06Rik,2310030G06Rik,Alternative splicing; Phosphoprotein; Reference proteome,6846,,,ENSMUST00000034564,tsl1 (assigned to previous version 2),Q9D8L0
2310033P09Rik_1,chr11,59099202,59099701,59098642,59099141,principal1,protein_coding,protein_coding,1,RIKEN cDNA 2310033P09 gene [Source:MGI Symbol;Acc:MGI:1915112],ENSMUSG00000020441,GENCODE basic,2310033P09Rik,2310033P09Rik,Isopeptide bond; Phosphoprotein; Reference proteome; Ubl conjugation,2418,,,ENSMUST00000020719,tsl1 (assigned to previous version 6),Q99LX5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310040G24Rik_1,chr6,86465237,86465736,86464677,86465176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000101655,NA,2310040G24Rik,NA,NA,14000,NA,NA,NA,NA,NA
2310043M15Rik_1,chr16,93591826,93592325,93591266,93591765,principal1,protein_coding,protein_coding,1,DOP1 leucine zipper like protein B [Source:MGI Symbol;Acc:MGI:1917278],ENSMUSG00000022946,GENCODE basic,Dop1b,Dop1b,Alternative splicing; Endosome; Golgi apparatus; Membrane; Phosphoprotein; Protein transport; Reference proteome; Transport,98687,,,ENSMUST00000045004,tsl1 (assigned to previous version 9),Q3UHQ6,NA,NA,NA,NA,NA,ENSMUSG00000097768,NA,2310043M15Rik,NA,NA,3787,NA,NA,NA,NA,NA
2410002F23Rik_1,chr7,43896222,43896721,43895662,43896161,principal2,protein_coding,protein_coding,NA,RIKEN cDNA 2410002F23 gene [Source:MGI Symbol;Acc:MGI:1914226],ENSMUSG00000045411,GENCODE basic,2410002F23Rik,2410002F23Rik,NA,5598,,,ENSMUST00000055858,tsl1 (assigned to previous version 13),,alternative2,protein_coding,protein_coding,1,RIKEN cDNA 1700028J19 gene [Source:MGI Symbol;Acc:MGI:1917254],ENSMUSG00000038782,GENCODE basic,1700028J19Rik,1700028J19Rik,NA,16885,,,ENSMUST00000236952,,
2410003L11Rik_1,chr11,97489348,97489847,97488788,97489287,NA,NA,NA,NA,NA,ENSMUSG00000085860,NA,2410003L11Rik,NA,NA,39572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2410015M20Rik_1,chr17,56916752,56917251,56916192,56916691,NA,NA,NA,NA,NA,ENSMUSG00000120175,NA,Gm56912,NA,NA,1213,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,mitochondrial contact site and cristae organizing system subunit 13 [Source:MGI Symbol;Acc:MGI:2442174],ENSMUSG00000049760,GENCODE basic,Micos13,Micos13,Membrane; Mitochondrion; Mitochondrion inner membrane; Reference proteome; Transmembrane; Transmembrane helix,2320,,,ENSMUST00000052832,tsl1 (assigned to previous version 5),Q8R404
2410017I17Rik_1,chr17,36455910,36456409,36455350,36455849,NA,NA,NA,NA,NA,ENSMUSG00000038311,NA,2410017I17Rik,NA,NA,18159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000073403,NA,Gm10499,NA,NA,4166,NA,NA,NA,NA,NA
2410017I17Rik_2,chr17,36468795,36469294,36468235,36468734,NA,NA,NA,NA,NA,ENSMUSG00000092289,NA,Gm6659,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000092366,NA,Gm17782,NA,NA,5549,NA,NA,NA,NA,NA
2410137M14Rik_1,chr17,37292169,37292668,37291609,37292108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alternative2,protein_coding,protein_coding,1,RIKEN cDNA 2410137M14 gene [Source:MGI Symbol;Acc:MGI:1924047],ENSMUSG00000064308,GENCODE basic,2410137M14Rik,2410137M14Rik,NA,3537,,,ENSMUST00000039846,tsl1 (assigned to previous version 11),
2410141K09Rik_1,chr13,66589240,66589739,66588680,66589179,NA,NA,NA,NA,NA,ENSMUSG00000114616,NA,Gm26754,NA,NA,224114,NA,NA,NA,NA,NA,,protein_coding,protein_coding,NA,zinc finger protein 998 [Source:MGI Symbol;Acc:MGI:1924053],ENSMUSG00000074832,GENCODE basic,Zfp998,Zfp998,NA,23007,,,ENSMUST00000173583,tsl1 (assigned to previous version 7),
2510002D24Rik_1,chr16,18655342,18655841,18654782,18655281,principal1,protein_coding,protein_coding,1,RIKEN cDNA 2510002D24 gene [Source:MGI Symbol;Acc:MGI:1919557],ENSMUSG00000071632,GENCODE basic,2510002D24Rik,2510002D24Rik,Reference proteome; Secreted; Synapse,3583,,,ENSMUST00000055413,tsl1 (assigned to previous version 12),Q3U595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2610005L07Rik-1_1,chr8,20016498,20016997,20015938,20016437,NA,NA,NA,NA,NA,ENSMUSG00000121345,NA,2610005L07Rik,NA,NA,98863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2610037D02Rik_1,chr15,96095950,96096449,96095390,96095889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000097536,NA,2610037D02Rik,NA,NA,151268,NA,NA,NA,NA,NA
2610044O15Rik8_1,chr8,129960544,129961043,129959984,129960483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,protein_coding,NA,zinc finger protein 1006 [Source:MGI Symbol;Acc:MGI:1919389],ENSMUSG00000071302,GENCODE basic,Zfp1006,Zfp1006,NA,18053,,,ENSMUST00000190157,tsl1 (assigned to previous version 6),
