"biotype_bin","length_bin","expression_bin","ensembl_gene_id","baseMean","gene_length","gene_biotype"
"lncRNA",2,"1","ENSMUSG00000112924",1.16666666666667,10508,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000105308",0.166666666666667,13792,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000104117",0.25,8318,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000090220",0.5,7413,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000110001",0.75,8165,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000121860",8.91666666666667,9246,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000087591",9.91666666666667,15218,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000086263",0,9216,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000086992",6.58333333333333,11532,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000118204",2.08333333333333,12434,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000086199",1.75,17545,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000092499",2.33333333333333,7045,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000099446",4.83333333333333,10956,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000121872",5.08333333333333,8895,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000085941",4,11409,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000052295",2.66666666666667,11462,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000121341",0.166666666666667,9748,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000071818",7.16666666666667,8154,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000115016",0.666666666666667,7674,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000116792",0.833333333333333,8398,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000056332",0.166666666666667,15956,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000121877",8.66666666666667,11675,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000121505",8.58333333333333,13067,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000117571",1.75,11216,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000055061",3.41666666666667,7537,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000087478",9.91666666666667,17753,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000085928",1.66666666666667,17409,"lncRNA"
"lncRNA",2,"2","ENSMUSG00000117011",18.75,12251,"lncRNA"
"lncRNA",2,"2","ENSMUSG00000085615",108.916666666667,9036,"lncRNA"
"lncRNA",2,"3","ENSMUSG00000097391",335.75,14477,"lncRNA"
"lncRNA",2,"4","ENSMUSG00000079179",2113.08333333333,14584,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000086379",5.66666666666667,33330,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000084984",2.41666666666667,26962,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000113620",3.41666666666667,30929,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000119972",5.83333333333333,34913,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000113429",5.75,22161,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000114469",0,17804,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000112201",0.666666666666667,45861,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000104401",6.66666666666667,20911,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000100457",0.333333333333333,33689,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000098144",1.5,17841,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000089819",1.16666666666667,20855,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000121390",0.416666666666667,21286,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000111299",4.16666666666667,21364,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000085851",10.3333333333333,32628,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000097910",10.25,22146,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000085582",0.583333333333333,18689,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000074354",1.75,36393,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000113960",0.166666666666667,20967,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000060029",8.25,19959,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000110541",1.91666666666667,26072,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000053117",3.5,17917,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000112910",0.333333333333333,31188,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000113679",5.91666666666667,24300,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000112762",1.16666666666667,22502,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000085181",0.916666666666667,22490,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000108803",0.75,44956,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000084811",0,29248,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000142580",1.33333333333333,37204,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000115139",0.166666666666667,19787,"lncRNA"
"lncRNA",3,"1","ENSMUSG00000055048",1.08333333333333,22670,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000099170",57,33005,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000085154",145.416666666667,27850,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000097336",13.3333333333333,28229,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000086544",36.1666666666667,19487,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000100010",24.3333333333333,29585,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000112707",16,34013,"lncRNA"
"lncRNA",3,"2","ENSMUSG00000113591",194.416666666667,29118,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000112925",276.166666666667,36252,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000097537",1649.75,22414,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000078700",479.666666666667,20915,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000086236",790.083333333333,37683,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000059659",1265.66666666667,37089,"lncRNA"
"lncRNA",3,"3","ENSMUSG00000136429",1228.33333333333,23376,"lncRNA"
"lncRNA",3,"4","ENSMUSG00000087174",2009.41666666667,29271,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000102069",7.5,150326,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000113550",1.5,118544,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000115727",3.83333333333333,49515,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000086221",2.5,87209,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000115177",0.833333333333333,60314,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000117633",0.333333333333333,46237,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000087301",2.75,106593,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000107132",5.5,48975,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000115001",2.25,142870,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000121619",9.41666666666667,98666,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000074415",4.58333333333333,55519,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000099672",1.66666666666667,47178,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000107563",0.666666666666667,70577,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000112792",4.16666666666667,84916,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000111303",3,49299,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000090063",9.16666666666667,48988,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000102674",6.41666666666667,60135,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000086254",8,83266,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000060424",4.5,46626,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000097756",9.08333333333333,61969,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000116031",5.66666666666667,75168,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000101734",3.25,76996,"lncRNA"
"lncRNA",4,"1","ENSMUSG00000101848",4.08333333333333,46198,"lncRNA"
"lncRNA",4,"2","ENSMUSG00000098284",111,361774,"lncRNA"
"lncRNA",4,"2","ENSMUSG00000101801",110.416666666667,95334,"lncRNA"
"lncRNA",4,"2","ENSMUSG00000102046",14.8333333333333,218936,"lncRNA"
"lncRNA",4,"2","ENSMUSG00000101799",14.0833333333333,115394,"lncRNA"
"lncRNA",4,"2","ENSMUSG00000114860",53.8333333333333,218393,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000098295",1761.58333333333,52743,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000101344",521.916666666667,246086,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000098682",525.666666666667,124061,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000086629",1646.58333333333,52419,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000072592",459,46094,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000085112",384.75,102116,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000097091",377.583333333333,103068,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000085862",495.166666666667,137158,"lncRNA"
"lncRNA",4,"3","ENSMUSG00000097098",1469.58333333333,115784,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000087259",1829.16666666667,157933,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000105265",9166.41666666667,117613,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000121504",3050.5,80220,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000085936",5491.16666666667,425389,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000097451",2169.41666666667,57767,"lncRNA"
"lncRNA",4,"4","ENSMUSG00000118267",3053.33333333333,185140,"lncRNA"
"protein_coding",1,"1","ENSMUSG00000075101",0,936,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073896",0.0833333333333333,945,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051802",0,482,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000062892",0,978,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051051",0.0833333333333333,954,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000046922",0.0833333333333333,1092,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000035692",5.91666666666667,1395,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000057174",0,461,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000041954",4.75,2550,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000064165",0,6635,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000053217",0,984,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000041165",5.83333333333333,1295,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000024116",3.91666666666667,5042,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000050141",1.83333333333333,6201,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075189",0.333333333333333,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000094504",2.83333333333333,1540,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000040541",0.5,2757,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073969",0,1023,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048489",1.5,2164,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000018916",0.0833333333333333,2630,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000037583",8,3147,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000017316",1.41666666666667,1370,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070524",4.16666666666667,5669,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000058132",0.25,915,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000043314",0,1066,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000085925",1.08333333333333,5235,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073948",0,951,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000111715",0.166666666666667,1078,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044084",1,1875,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000069259",1,6626,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000063386",0,936,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000043274",0,972,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044243",6.16666666666667,1207,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000032758",0.25,3813,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000014104",0,3984,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000046913",0,933,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000047356",0,3355,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000094626",6,4869,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044811",1.25,5112,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000005202",1.08333333333333,3090,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048540",1.16666666666667,5348,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048197",0.0833333333333333,957,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000024379",1.58333333333333,4417,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051414",0,966,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000050704",0,792,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000078365",5.08333333333333,1448,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000042801",0.166666666666667,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000050504",0.166666666666667,930,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073963",0.0833333333333333,957,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000035951",2.83333333333333,4268,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000032081",0.166666666666667,2250,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000045824",0.0833333333333333,1041,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000090122",9.75,1446,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000022651",0.0833333333333333,1891,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000038754",6.25,3796,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073375",0.166666666666667,1759,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075174",0.166666666666667,942,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000090202",6.91666666666667,5059,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000036887",0.25,2929,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000062952",0.166666666666667,1002,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073974",0,1079,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000090439",3,3833,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000094535",0,948,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000063522",0.333333333333333,3369,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000022435",0.833333333333333,5420,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000092054",4.58333333333333,3665,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000074676",1.75,1311,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000040163",0,3121,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000097918",0.75,567,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075167",0.0833333333333333,933,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000059610",0.25,957,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000046678",0.166666666666667,933,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000038530",2.16666666666667,6166,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000094612",0.0833333333333333,933,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000094018",1.83333333333333,1262,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000050635",0,1256,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044186",0,3739,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000027484",0,5840,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000042869",0,951,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070983",0,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075090",0,945,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051276",0,1440,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000111448",0.0833333333333333,1968,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044487",0.166666666666667,957,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073949",0,960,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044106",0,3065,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000018930",0.75,2100,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000050147",9.41666666666667,2006,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000025051",0,2681,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000049350",1.83333333333333,1822,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000069867",1,3265,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000039146",0,4155,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075206",0.333333333333333,984,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075072",0.333333333333333,906,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000069080",0,3263,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000037145",3.66666666666667,5287,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000046450",0.583333333333333,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000028963",0,4714,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070979",0.666666666666667,1504,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000043102",0.5,4351,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044454",0.166666666666667,996,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000036463",0.25,1444,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000024401",3.58333333333333,2641,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000005824",0.25,4708,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000022596",0.0833333333333333,1383,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000071001",4.16666666666667,913,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000053856",6.58333333333333,4206,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000043310",0,969,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075110",0,936,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048425",0,954,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000061602",0,942,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000079258",3.66666666666667,3140,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000057424",0.0833333333333333,933,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000074913",0.166666666666667,2723,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000035085",2.41666666666667,3539,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000091017",2.33333333333333,2234,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000049011",0,972,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000039215",0,4864,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051618",0,2650,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000000381",0.583333333333333,3167,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000055826",8.83333333333333,886,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000079516",0,3131,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000029882",0,5242,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000043892",8.91666666666667,936,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000031957",4,4501,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048001",3.33333333333333,1449,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000092322",0.333333333333333,3712,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000039508",0.916666666666667,5530,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073964",0.0833333333333333,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000038704",1.58333333333333,2317,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000041550",0,5025,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000078442",4.58333333333333,6144,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000072624",0.333333333333333,5904,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000051593",0.0833333333333333,960,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000069823",0,4420,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000030046",0.333333333333333,5511,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000021439",0.75,5560,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070990",9.33333333333333,1116,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000078577",1.83333333333333,3576,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000091530",1.66666666666667,660,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000034829",8.58333333333333,6095,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000017720",1,3421,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073945",0.25,957,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000061614",0.0833333333333333,942,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000030218",0.583333333333333,3371,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000068817",0.25,1020,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000066975",3.33333333333333,5970,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000112039",3,1117,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070943",0,948,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000031494",1.75,5590,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000044441",0,1065,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048572",3.16666666666667,5654,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000035383",0.0833333333333333,1303,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000075091",0,918,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000071089",0.833333333333333,5994,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000073917",0.166666666666667,951,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000070546",0.166666666666667,939,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000052468",0,4035,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000035352",0,1555,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000054054",0,927,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000048226",0.0833333333333333,936,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000054498",0,927,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000038210",9.08333333333333,3706,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000074928",0,855,"protein_coding"
"protein_coding",1,"1","ENSMUSG00000036938",0,3479,"protein_coding"
