"ensembl_gene_id","baseMean","gene_length","gene_biotype"
"ENSMUSG00000005886",13098.1666666667,233325,"protein_coding"
"ENSMUSG00000025935",6391.75,25218,"protein_coding"
"ENSMUSG00000025937",7251.58333333333,34610,"protein_coding"
"ENSMUSG00000067813",42.75,32953,"protein_coding"
"ENSMUSG00000025932",1735.91666666667,141242,"protein_coding"
"ENSMUSG00000025930",291,2621,"protein_coding"
"ENSMUSG00000032769",513.25,46215,"protein_coding"
"ENSMUSG00000092083",221.583333333333,401763,"protein_coding"
"ENSMUSG00000025925",13948.5,38407,"protein_coding"
"ENSMUSG00000032719",19.8333333333333,38861,"protein_coding"
"ENSMUSG00000067795",59.5,27347,"protein_coding"
"ENSMUSG00000043716",8529.58333333333,3138,"protein_coding"
"ENSMUSG00000025921",1386.08333333333,26669,"protein_coding"
"ENSMUSG00000025939",5219.58333333333,78551,"protein_coding"
"ENSMUSG00000079658",4449.08333333333,14101,"protein_coding"
"ENSMUSG00000097744",13.75,4727,"lncRNA"
"ENSMUSG00000025940",1221.08333333333,13085,"protein_coding"
"ENSMUSG00000025779",157,21150,"protein_coding"
"ENSMUSG00000042686",3071,102950,"protein_coding"
"ENSMUSG00000025777",35.0833333333333,18898,"protein_coding"
"ENSMUSG00000067780",6.5,29039,"protein_coding"
"ENSMUSG00000085125",33.9166666666667,51620,"lncRNA"
"ENSMUSG00000025776",117.25,38791,"protein_coding"
"ENSMUSG00000073735",0,971,"protein_coding"
"ENSMUSG00000067773",10.1666666666667,4615,"protein_coding"
"ENSMUSG00000042596",8.75,63311,"protein_coding"
"ENSMUSG00000025927",9.41666666666667,29932,"protein_coding"
"ENSMUSG00000025927",8.91666666666667,26792,"protein_coding"
"ENSMUSG00000043760",1158.41666666667,560279,"protein_coding"
"ENSMUSG00000089914",0.666666666666667,35847,"lncRNA"
"ENSMUSG00000025929",0,3592,"protein_coding"
"ENSMUSG00000041872",80.0833333333333,7125,"protein_coding"
"ENSMUSG00000041859",10031,17200,"protein_coding"
"ENSMUSG00000097934",11.6666666666667,1824,"lncRNA"
"ENSMUSG00000025931",773.75,48135,"protein_coding"
"ENSMUSG00000041809",228.25,39216,"protein_coding"
"ENSMUSG00000041779",1697.16666666667,77829,"protein_coding"
"ENSMUSG00000025933",224.75,11593,"protein_coding"
"ENSMUSG00000025934",655.083333333333,24991,"protein_coding"
"ENSMUSG00000121505",8.58333333333333,13067,"lncRNA"
"ENSMUSG00000028033",4020.16666666667,563540,"protein_coding"
"ENSMUSG00000073730",0.166666666666667,1780,"protein_coding"
"ENSMUSG00000026158",852.666666666667,16752,"protein_coding"
"ENSMUSG00000026156",16.6666666666667,85933,"protein_coding"
"ENSMUSG00000026155",4681.25,64912,"protein_coding"
"ENSMUSG00000026155",5539.66666666667,76757,"protein_coding"
"ENSMUSG00000026154",317.166666666667,9702,"protein_coding"
"ENSMUSG00000026153",7296.91666666667,89584,"protein_coding"
"ENSMUSG00000026147",5.75,75129,"protein_coding"
"ENSMUSG00000026147",5.25,57536,"protein_coding"
"ENSMUSG00000026141",37.5,329755,"protein_coding"
"ENSMUSG00000073725",4238,87758,"protein_coding"
"ENSMUSG00000033569",1487.75,762232,"protein_coding"
"ENSMUSG00000073722",2.66666666666667,5660,"protein_coding"
"ENSMUSG00000048411",0.166666666666667,4131,"protein_coding"
"ENSMUSG00000048874",18486.0833333333,60915,"protein_coding"
"ENSMUSG00000086727",46.25,81579,"protein_coding"
"ENSMUSG00000050217",0.416666666666667,28291,"protein_coding"
"ENSMUSG00000026063",0.166666666666667,1449,"protein_coding"
"ENSMUSG00000026058",309.416666666667,484933,"protein_coding"
"ENSMUSG00000026134",12213,215987,"protein_coding"
"ENSMUSG00000138851",8.5,889,"lncRNA"
"ENSMUSG00000004768",2923.08333333333,22669,"protein_coding"
"ENSMUSG00000042215",473.416666666667,12267,"protein_coding"
"ENSMUSG00000042197",8228.41666666667,53055,"protein_coding"
"ENSMUSG00000042182",646.833333333333,55570,"protein_coding"
"ENSMUSG00000026131",84559,400438,"protein_coding"
"ENSMUSG00000026131",78232.5833333333,296838,"protein_coding"
"ENSMUSG00000026131",12409.1666666667,23574,"protein_coding"
"ENSMUSG00000042111",414.166666666667,3003,"protein_coding"
"ENSMUSG00000026127",1870.41666666667,5919,"protein_coding"
"ENSMUSG00000026126",184.083333333333,14034,"protein_coding"
"ENSMUSG00000026125",3,4633,"protein_coding"
"ENSMUSG00000037529",1.5,8613,"protein_coding"
"ENSMUSG00000045174",3.25,11252,"protein_coding"
"ENSMUSG00000037509",232.5,11033,"protein_coding"
"ENSMUSG00000037503",5533.58333333333,29833,"protein_coding"
"ENSMUSG00000026123",432.333333333333,21599,"protein_coding"
"ENSMUSG00000045216",14500.8333333333,38047,"protein_coding"
"ENSMUSG00000037470",17356.1666666667,104275,"protein_coding"
"ENSMUSG00000047180",15.5,8824,"protein_coding"
"ENSMUSG00000037447",433.833333333333,16297,"protein_coding"
"ENSMUSG00000010453",4365.75,33452,"protein_coding"
"ENSMUSG00000037432",6.91666666666667,49820,"protein_coding"
"ENSMUSG00000001143",2089.16666666667,22054,"protein_coding"
"ENSMUSG00000037408",1254.33333333333,37180,"protein_coding"
"ENSMUSG00000001138",2512.83333333333,16362,"protein_coding"
"ENSMUSG00000067653",239.666666666667,5196,"protein_coding"
"ENSMUSG00000079610",425.083333333333,9029,"protein_coding"
"ENSMUSG00000026121",541.416666666667,8919,"protein_coding"
"ENSMUSG00000046337",564.25,30637,"protein_coding"
"ENSMUSG00000046337",3964.66666666667,120488,"protein_coding"
"ENSMUSG00000061518",1456.66666666667,1902,"protein_coding"
"ENSMUSG00000037351",2264.66666666667,10724,"protein_coding"
"ENSMUSG00000026117",157.083333333333,21023,"protein_coding"
"ENSMUSG00000026117",154.916666666667,18306,"protein_coding"
"ENSMUSG00000026117",153.333333333333,15887,"protein_coding"
"ENSMUSG00000026117",84.0833333333333,3837,"protein_coding"
"ENSMUSG00000026116",36007.4166666667,147339,"protein_coding"
"ENSMUSG00000026114",414.083333333333,45107,"protein_coding"
"ENSMUSG00000026113",2585.91666666667,110903,"protein_coding"
"ENSMUSG00000026113",1184.25,35226,"protein_coding"
"ENSMUSG00000026112",2504.33333333333,13019,"protein_coding"
"ENSMUSG00000026111",1089.33333333333,8953,"protein_coding"
"ENSMUSG00000026110",2860.66666666667,97065,"protein_coding"
"ENSMUSG00000026110",2920.08333333333,101677,"protein_coding"
"ENSMUSG00000103948",124.083333333333,2755,"TEC"
"ENSMUSG00000026090",367.25,108136,"protein_coding"
"ENSMUSG00000060771",921.5,110511,"protein_coding"
"ENSMUSG00000060771",763.833333333333,53911,"protein_coding"
"ENSMUSG00000037216",190.333333333333,4093,"protein_coding"
"ENSMUSG00000026088",691.833333333333,11522,"protein_coding"
"ENSMUSG00000026087",1269.91666666667,7781,"protein_coding"
"ENSMUSG00000061584",1,10571,"protein_coding"
"ENSMUSG00000026085",1.5,11022,"protein_coding"
"ENSMUSG00000058407",2905.83333333333,13342,"protein_coding"
"ENSMUSG00000026083",11173,57570,"protein_coding"
"ENSMUSG00000026082",21537.6666666667,76877,"protein_coding"
"ENSMUSG00000037138",3751.41666666667,451254,"protein_coding"
"ENSMUSG00000048814",67.5833333333333,26707,"protein_coding"
"ENSMUSG00000026080",478.5,34288,"protein_coding"
"ENSMUSG00000067604",0.25,11128,"protein_coding"
"ENSMUSG00000026078",1203.91666666667,9423,"protein_coding"
"ENSMUSG00000026077",404,168969,"protein_coding"
"ENSMUSG00000073702",2540.91666666667,4060,"protein_coding"
"ENSMUSG00000003134",5658.58333333333,107252,"protein_coding"
"ENSMUSG00000003135",1821.16666666667,11076,"protein_coding"
"ENSMUSG00000048234",5203,26052,"protein_coding"
"ENSMUSG00000050967",92.25,32777,"protein_coding"
"ENSMUSG00000057173",36.9166666666667,55689,"protein_coding"
"ENSMUSG00000101634",5.5,4903,"lncRNA"
"ENSMUSG00000026074",15162.9166666667,125398,"protein_coding"
"ENSMUSG00000097899",8.66666666666667,9640,"lncRNA"
"ENSMUSG00000026073",34.6666666666667,40459,"protein_coding"
"ENSMUSG00000026072",103.583333333333,91098,"protein_coding"
"ENSMUSG00000026072",95.1666666666667,49592,"protein_coding"
"ENSMUSG00000070942",86.0833333333333,40845,"protein_coding"
"ENSMUSG00000026069",0.333333333333333,18842,"protein_coding"
"ENSMUSG00000026069",0.333333333333333,8783,"protein_coding"
"ENSMUSG00000026070",2.66666666666667,26027,"protein_coding"
"ENSMUSG00000026068",4.25,36344,"protein_coding"
"ENSMUSG00000026065",1.33333333333333,50505,"protein_coding"
"ENSMUSG00000026062",22.3333333333333,87174,"protein_coding"
"ENSMUSG00000041945",192.25,18618,"protein_coding"
"ENSMUSG00000079588",0.916666666666667,49667,"protein_coding"
"ENSMUSG00000060424",4.5,46626,"lncRNA"
"ENSMUSG00000045515",24.5833333333333,3064,"protein_coding"
"ENSMUSG00000097063",0.333333333333333,6392,"lncRNA"
"ENSMUSG00000099784",0,2175,"lncRNA"
"ENSMUSG00000060679",6652.33333333333,54451,"protein_coding"
"ENSMUSG00000041907",33,82578,"protein_coding"
"ENSMUSG00000070939",1619.5,51354,"protein_coding"
"ENSMUSG00000010290",1444.41666666667,17237,"protein_coding"
"ENSMUSG00000008136",480.416666666667,40891,"protein_coding"
"ENSMUSG00000008136",500.333333333333,73691,"protein_coding"
"ENSMUSG00000066877",8423.58333333333,124768,"protein_coding"
"ENSMUSG00000026051",13.5833333333333,11963,"protein_coding"
"ENSMUSG00000057363",4430.66666666667,77478,"protein_coding"
"ENSMUSG00000041763",15478.8333333333,68965,"protein_coding"
"ENSMUSG00000047343",0.833333333333333,10599,"protein_coding"
"ENSMUSG00000026049",1619.58333333333,15772,"protein_coding"
"ENSMUSG00000026047",1908.33333333333,12228,"protein_coding"
"ENSMUSG00000041684",1065.5,24804,"protein_coding"
"ENSMUSG00000026048",3952.08333333333,33517,"protein_coding"
"ENSMUSG00000056870",3174.16666666667,245166,"protein_coding"
"ENSMUSG00000101701",0.833333333333333,5275,"lncRNA"
"ENSMUSG00000026043",38.5,38169,"protein_coding"
"ENSMUSG00000026042",469.166666666667,128952,"protein_coding"
"ENSMUSG00000025995",7663.83333333333,28113,"protein_coding"
"ENSMUSG00000025993",636,17525,"protein_coding"
"ENSMUSG00000025986",10333.6666666667,45966,"protein_coding"
"ENSMUSG00000026109",1082.16666666667,259748,"protein_coding"
"ENSMUSG00000101799",14.0833333333333,115394,"lncRNA"
"ENSMUSG00000045954",10.1666666666667,13835,"protein_coding"
"ENSMUSG00000026107",5293,8912,"protein_coding"
"ENSMUSG00000018417",7306.58333333333,166221,"protein_coding"
"ENSMUSG00000062939",655.416666666667,98950,"protein_coding"
"ENSMUSG00000026104",1156,42428,"protein_coding"
"ENSMUSG00000026103",17735.8333333333,69783,"protein_coding"
"ENSMUSG00000002881",1208.08333333333,44600,"protein_coding"
"ENSMUSG00000043015",1960.66666666667,21215,"protein_coding"
"ENSMUSG00000041439",255.166666666667,67333,"protein_coding"
"ENSMUSG00000026102",425.916666666667,28269,"protein_coding"
"ENSMUSG00000041426",2073.75,75815,"protein_coding"
"ENSMUSG00000043629",4954.25,27714,"protein_coding"
"ENSMUSG00000026100",0.5,6417,"protein_coding"
"ENSMUSG00000060715",421.666666666667,29041,"protein_coding"
"ENSMUSG00000026098",6554.25,107808,"protein_coding"
"ENSMUSG00000026097",1213.58333333333,13151,"protein_coding"
"ENSMUSG00000026096",886.666666666667,12719,"protein_coding"
"ENSMUSG00000026095",2037.33333333333,8136,"protein_coding"
"ENSMUSG00000026094",2810.66666666667,29704,"protein_coding"
"ENSMUSG00000042807",2346.83333333333,388161,"protein_coding"
"ENSMUSG00000025983",807.333333333333,118045,"protein_coding"
"ENSMUSG00000041303",4883.33333333333,41391,"protein_coding"
"ENSMUSG00000073678",6598.08333333333,84685,"protein_coding"
"ENSMUSG00000052331",3529.41666666667,281048,"protein_coding"
"ENSMUSG00000025982",24122.4166666667,42309,"protein_coding"
"ENSMUSG00000025981",1114.66666666667,19933,"protein_coding"
"ENSMUSG00000025980",15282,10099,"protein_coding"
"ENSMUSG00000073676",3403.25,3170,"protein_coding"
"ENSMUSG00000025979",2699.83333333333,23655,"protein_coding"
"ENSMUSG00000025978",145.583333333333,56623,"protein_coding"
"ENSMUSG00000046994",711.833333333333,2882,"protein_coding"
"ENSMUSG00000025977",471.666666666667,62639,"protein_coding"
"ENSMUSG00000038349",391.416666666667,348340,"protein_coding"
"ENSMUSG00000099950",179.666666666667,40858,"lncRNA"
"ENSMUSG00000100372",0.166666666666667,1226,"lncRNA"
"ENSMUSG00000045336",0,1401,"protein_coding"
"ENSMUSG00000038331",6152.16666666667,177354,"protein_coding"
"ENSMUSG00000087022",27.1666666666667,3728,"lncRNA"
"ENSMUSG00000101429",0.5,14352,"lncRNA"
"ENSMUSG00000097519",646,18323,"lncRNA"
"ENSMUSG00000038323",596.916666666667,7803,"protein_coding"
"ENSMUSG00000048495",1505.75,18431,"protein_coding"
"ENSMUSG00000025971",1093.5,9411,"protein_coding"
"ENSMUSG00000038305",1842.75,173537,"protein_coding"
"ENSMUSG00000038305",968.916666666667,102827,"protein_coding"
"ENSMUSG00000054770",1295.41666666667,14424,"protein_coding"
"ENSMUSG00000026039",9468.08333333333,30304,"protein_coding"
"ENSMUSG00000063558",667,76442,"protein_coding"
"ENSMUSG00000064294",82.9166666666667,87317,"protein_coding"
"ENSMUSG00000038242",32.5,58200,"protein_coding"
"ENSMUSG00000079554",35.9166666666667,100939,"protein_coding"
"ENSMUSG00000051223",10740.4166666667,13413,"protein_coding"
"ENSMUSG00000026034",8526.75,12101,"protein_coding"
"ENSMUSG00000026035",1061.58333333333,11700,"protein_coding"
"ENSMUSG00000026036",1413.66666666667,14644,"protein_coding"
"ENSMUSG00000026037",7736,38656,"protein_coding"
"ENSMUSG00000026037",8404.58333333333,42339,"protein_coding"
"ENSMUSG00000038174",4452.16666666667,63528,"protein_coding"
"ENSMUSG00000026032",1148.33333333333,9350,"protein_coding"
"ENSMUSG00000026031",590.25,19942,"protein_coding"
"ENSMUSG00000026029",351.666666666667,52130,"protein_coding"
"ENSMUSG00000026029",277.916666666667,45002,"protein_coding"
"ENSMUSG00000026028",6468.16666666667,73033,"protein_coding"
"ENSMUSG00000026027",461.083333333333,21551,"protein_coding"
"ENSMUSG00000072295",60.6666666666667,44395,"protein_coding"
"ENSMUSG00000038079",1178.41666666667,19210,"protein_coding"
"ENSMUSG00000079550",213.5,40702,"protein_coding"
"ENSMUSG00000026024",7287.91666666667,74338,"protein_coding"
"ENSMUSG00000026023",142.916666666667,95463,"protein_coding"
"ENSMUSG00000041075",4897.41666666667,4809,"protein_coding"
"ENSMUSG00000047361",279.166666666667,118246,"protein_coding"
"ENSMUSG00000026021",6349.75,31401,"protein_coding"
"ENSMUSG00000026020",27144.75,26505,"protein_coding"
"ENSMUSG00000067336",12242.9166666667,113803,"protein_coding"
"ENSMUSG00000041040",4570.16666666667,72343,"protein_coding"
"ENSMUSG00000026018",150.833333333333,54020,"protein_coding"
"ENSMUSG00000026019",3762.66666666667,21040,"protein_coding"
"ENSMUSG00000026017",1877.5,55707,"protein_coding"
"ENSMUSG00000026017",1624.41666666667,45871,"protein_coding"
"ENSMUSG00000073664",15090.1666666667,154107,"protein_coding"
"ENSMUSG00000049439",2946.91666666667,44016,"protein_coding"
"ENSMUSG00000026782",6942.16666666667,71545,"protein_coding"
"ENSMUSG00000026014",9471.16666666667,83581,"protein_coding"
"ENSMUSG00000026012",17.6666666666667,26972,"protein_coding"
"ENSMUSG00000026011",0.833333333333333,6808,"protein_coding"
"ENSMUSG00000026009",0,22408,"protein_coding"
"ENSMUSG00000085447",1.41666666666667,17473,"lncRNA"
"ENSMUSG00000052062",2174.5,1003461,"protein_coding"
"ENSMUSG00000025969",4990,115376,"protein_coding"
"ENSMUSG00000130211",0.666666666666667,3815,"lncRNA"
"ENSMUSG00000040865",12374.9166666667,66467,"protein_coding"
"ENSMUSG00000084799",4384.83333333333,43825,"lncRNA"
"ENSMUSG00000025968",6307,33231,"protein_coding"
"ENSMUSG00000025967",11649.75,3656,"protein_coding"
"ENSMUSG00000046856",183.25,31711,"protein_coding"
"ENSMUSG00000027520",29358.5833333333,114218,"protein_coding"
"ENSMUSG00000027520",18311.4166666667,41307,"protein_coding"
"ENSMUSG00000069085",4.91666666666667,64077,"protein_coding"
"ENSMUSG00000025963",46.8333333333333,31492,"protein_coding"
"ENSMUSG00000025962",3376.91666666667,22761,"protein_coding"
"ENSMUSG00000044689",0,4273,"lncRNA"
"ENSMUSG00000087844",0.833333333333333,3511,"miRNA"
"ENSMUSG00000025959",6077.58333333333,85719,"protein_coding"
"ENSMUSG00000025958",7573.5,71745,"protein_coding"
"ENSMUSG00000025956",664.166666666667,10689,"protein_coding"
"ENSMUSG00000087213",442.333333333333,10791,"lncRNA"
"ENSMUSG00000045005",4966.25,7193,"protein_coding"
"ENSMUSG00000051344",4508.83333333333,167704,"protein_coding"
"ENSMUSG00000025955",40.3333333333333,19663,"protein_coding"
"ENSMUSG00000044429",14.3333333333333,2975,"protein_coding"
"ENSMUSG00000044816",258.25,15902,"protein_coding"
"ENSMUSG00000025950",3766.08333333333,20527,"protein_coding"
"ENSMUSG00000025950",4024.41666666667,27864,"protein_coding"
"ENSMUSG00000025949",12486,92012,"protein_coding"
"ENSMUSG00000025946",62.25,77988,"protein_coding"
"ENSMUSG00000015222",2016.08333333333,267255,"protein_coding"
"ENSMUSG00000055567",111.833333333333,230702,"protein_coding"
"ENSMUSG00000026005",9106.66666666667,18913,"protein_coding"
"ENSMUSG00000026004",2403,98353,"protein_coding"
"ENSMUSG00000026003",1621,32471,"protein_coding"
"ENSMUSG00000061816",12,20761,"protein_coding"
"ENSMUSG00000061816",8,11071,"protein_coding"
"ENSMUSG00000026000",2471.08333333333,38318,"protein_coding"
"ENSMUSG00000025991",25.4166666666667,108241,"protein_coding"
"ENSMUSG00000062209",729.416666666667,1068094,"protein_coding"
"ENSMUSG00000025997",1732.25,154751,"protein_coding"
"ENSMUSG00000053153",576.083333333333,99281,"protein_coding"
"ENSMUSG00000053153",129.5,773518,"protein_coding"
"ENSMUSG00000045648",1.75,159683,"protein_coding"
"ENSMUSG00000026196",13965.8333333333,75438,"protein_coding"
"ENSMUSG00000050296",21.75,171821,"protein_coding"
"ENSMUSG00000026192",5352.16666666667,22248,"protein_coding"
"ENSMUSG00000026193",50745.75,67762,"protein_coding"
"ENSMUSG00000073652",281.75,9509,"lncRNA"
"ENSMUSG00000099707",0.166666666666667,3093,"lncRNA"
"ENSMUSG00000101848",4.08333333333333,46198,"lncRNA"
"ENSMUSG00000039395",11565.25,53075,"protein_coding"
"ENSMUSG00000026189",1243.75,25142,"protein_coding"
"ENSMUSG00000026188",55.0833333333333,18623,"protein_coding"
"ENSMUSG00000026187",12362.75,87533,"protein_coding"
"ENSMUSG00000039372",8.58333333333333,109453,"protein_coding"
"ENSMUSG00000039354",2927.91666666667,53540,"protein_coding"
"ENSMUSG00000039323",17871.5,27992,"protein_coding"
"ENSMUSG00000026185",131.666666666667,16801,"protein_coding"
"ENSMUSG00000026182",0.166666666666667,825,"protein_coding"
"ENSMUSG00000101968",4.33333333333333,9473,"lncRNA"
"ENSMUSG00000101968",0.833333333333333,923,"lncRNA"
"ENSMUSG00000099877",0,16185,"lncRNA"
"ENSMUSG00000101812",0.833333333333333,31812,"lncRNA"
"ENSMUSG00000101344",521.916666666667,246086,"lncRNA"
"ENSMUSG00000055322",3549.75,214217,"protein_coding"
"ENSMUSG00000061815",37.9166666666667,22690,"protein_coding"
"ENSMUSG00000026180",24,7253,"protein_coding"
"ENSMUSG00000048480",1.75,2846,"protein_coding"
"ENSMUSG00000006304",7077.91666666667,31664,"protein_coding"
"ENSMUSG00000064272",6.08333333333333,990,"protein_coding"
"ENSMUSG00000006299",2649.91666666667,4899,"protein_coding"
"ENSMUSG00000026179",2335.66666666667,68659,"protein_coding"
"ENSMUSG00000006301",1705.33333333333,16090,"protein_coding"
"ENSMUSG00000026179",905,21083,"protein_coding"
"ENSMUSG00000026177",169.166666666667,10849,"protein_coding"
"ENSMUSG00000026176",1105.16666666667,5677,"protein_coding"
"ENSMUSG00000026175",98.75,26177,"protein_coding"
"ENSMUSG00000033364",14249.4166666667,108777,"protein_coding"
"ENSMUSG00000026174",5417.66666666667,24783,"protein_coding"
"ENSMUSG00000026173",76.1666666666667,23089,"protein_coding"
"ENSMUSG00000026135",3413.91666666667,22901,"protein_coding"
"ENSMUSG00000026172",472.25,4155,"protein_coding"
"ENSMUSG00000026171",960.666666666667,7650,"protein_coding"
"ENSMUSG00000033276",378.166666666667,35439,"protein_coding"
"ENSMUSG00000033257",6596.5,36220,"protein_coding"
"ENSMUSG00000026170",328,24317,"protein_coding"
"ENSMUSG00000006542",28.4166666666667,10034,"protein_coding"
"ENSMUSG00000033227",747.583333333333,13428,"protein_coding"
"ENSMUSG00000026167",57.75,12157,"protein_coding"
"ENSMUSG00000090071",97.5833333333333,2704,"protein_coding"
"ENSMUSG00000055197",2.25,3900,"protein_coding"
"ENSMUSG00000006546",1.33333333333333,3210,"protein_coding"
"ENSMUSG00000047021",23.5,33520,"protein_coding"
"ENSMUSG00000006538",27.8333333333333,6334,"protein_coding"
"ENSMUSG00000026162",1101.66666666667,79294,"protein_coding"
"ENSMUSG00000026205",27,8349,"protein_coding"
"ENSMUSG00000033159",788.666666666667,7154,"protein_coding"
"ENSMUSG00000049339",922.666666666667,5124,"protein_coding"
"ENSMUSG00000026197",230.583333333333,2981,"protein_coding"
"ENSMUSG00000026198",1621.33333333333,8643,"protein_coding"
"ENSMUSG00000033124",1208.16666666667,11150,"protein_coding"
"ENSMUSG00000026199",971.916666666667,7226,"protein_coding"
"ENSMUSG00000026200",373.333333333333,12544,"protein_coding"
"ENSMUSG00000026201",899,4778,"protein_coding"
"ENSMUSG00000026202",1148,4280,"protein_coding"
"ENSMUSG00000096094",4.08333333333333,3560,"protein_coding"
"ENSMUSG00000096094",10.9166666666667,11999,"protein_coding"
"ENSMUSG00000026203",718.583333333333,9270,"protein_coding"
"ENSMUSG00000026204",658.333333333333,17168,"protein_coding"
"ENSMUSG00000033061",2.33333333333333,6179,"protein_coding"
"ENSMUSG00000026209",1469.41666666667,8453,"protein_coding"
"ENSMUSG00000026208",590.666666666667,8288,"protein_coding"
"ENSMUSG00000085653",21.8333333333333,6806,"lncRNA"
"ENSMUSG00000026207",1004.16666666667,57010,"protein_coding"
"ENSMUSG00000026207",582.583333333333,22452,"protein_coding"
"ENSMUSG00000026207",840.666666666667,46695,"protein_coding"
"ENSMUSG00000026207",133.666666666667,4481,"protein_coding"
"ENSMUSG00000033021",1002.25,7234,"protein_coding"
"ENSMUSG00000032997",1216.25,4903,"protein_coding"
"ENSMUSG00000051703",47.0833333333333,6162,"protein_coding"
"ENSMUSG00000026211",1797.58333333333,20628,"protein_coding"
"ENSMUSG00000032968",92.5833333333333,3278,"protein_coding"
"ENSMUSG00000026213",1837,15807,"protein_coding"
"ENSMUSG00000006576",506.083333333333,13166,"protein_coding"
"ENSMUSG00000100553",0.0833333333333333,12896,"lncRNA"
"ENSMUSG00000026235",13063.6666666667,147904,"protein_coding"
"ENSMUSG00000004872",74.0833333333333,95870,"protein_coding"
"ENSMUSG00000032908",116.25,109941,"protein_coding"
"ENSMUSG00000026245",9494.83333333333,70940,"protein_coding"
"ENSMUSG00000012187",10.75,27114,"protein_coding"
"ENSMUSG00000032883",11476.6666666667,49919,"protein_coding"
"ENSMUSG00000047330",0.5,3077,"protein_coding"
"ENSMUSG00000050711",3.16666666666667,5422,"protein_coding"
"ENSMUSG00000054702",1198,65097,"protein_coding"
"ENSMUSG00000073643",1420.66666666667,35367,"protein_coding"
"ENSMUSG00000026248",784.583333333333,5428,"protein_coding"
"ENSMUSG00000026249",2548.58333333333,64345,"protein_coding"
"ENSMUSG00000043230",37.6666666666667,15246,"protein_coding"
"ENSMUSG00000004364",16780.1666666667,73613,"protein_coding"
"ENSMUSG00000101483",0.333333333333333,29729,"lncRNA"
"ENSMUSG00000038608",92.4166666666667,164285,"protein_coding"
"ENSMUSG00000038608",209.166666666667,257486,"protein_coding"
"ENSMUSG00000055980",558.333333333333,58335,"protein_coding"
"ENSMUSG00000026142",4710.83333333333,128789,"protein_coding"
"ENSMUSG00000026142",3901.16666666667,106319,"protein_coding"
"ENSMUSG00000067158",26.4166666666667,136127,"protein_coding"
"ENSMUSG00000079465",16.4166666666667,135139,"protein_coding"
"ENSMUSG00000026150",4286.91666666667,27472,"protein_coding"
"ENSMUSG00000026149",0.5,11808,"protein_coding"
"ENSMUSG00000026159",14293.5833333333,56793,"protein_coding"
"ENSMUSG00000038496",246.083333333333,25926,"protein_coding"
"ENSMUSG00000026166",3.75,2402,"protein_coding"
"ENSMUSG00000053161",9.58333333333333,50811,"protein_coding"
"ENSMUSG00000026163",50.4166666666667,152420,"protein_coding"
"ENSMUSG00000045658",11493.1666666667,248353,"protein_coding"
"ENSMUSG00000036766",668.75,326383,"protein_coding"
"ENSMUSG00000026219",89952.8333333333,118116,"protein_coding"
"ENSMUSG00000073633",1944.5,60646,"protein_coding"
"ENSMUSG00000026220",358.25,28379,"protein_coding"
"ENSMUSG00000052760",123.833333333333,19524,"protein_coding"
"ENSMUSG00000100217",5,9424,"lncRNA"
"ENSMUSG00000036707",8444.91666666667,58131,"protein_coding"
"ENSMUSG00000026223",1875.66666666667,14189,"protein_coding"
